date,followers_count,following_count,media_count,engagement_rate,average_likes,average_comments,comments_to_likes_ratio,weekly_posts,artist_name
2024-08-15,64165373,255,288,1.350%,856252.4,10231.4,1.195%,3.0,Maluma
2024-08-14,64178897,255,287,1.343%,851921.5,10216.5,1.199%,2.0,Maluma
2024-08-13,64184024,255,287,1.323%,838321.5,10620.6,1.267%,3.0,Maluma
2024-08-12,64189996,255,286,1.321%,837161.3,10615.1,1.268%,2.0,Maluma
2024-08-11,64193617,255,286,1.316%,834385.4,10605.9,1.271%,2.0,Maluma
2024-08-10,64196769,255,286,1.468%,931480.2,10935.4,1.174%,2.0,Maluma
2024-08-09,64196944,255,285,1.466%,929891.8,10931.3,1.176%,1.0,Maluma
2024-08-08,64202440,255,285,1.459%,926031.3,10914.6,1.179%,1.0,Maluma
2024-08-07,64203448,255,285,1.447%,918044.4,10936.6,1.191%,1.0,Maluma
2024-08-06,64206801,255,284,1.445%,917124.2,10931.8,1.192%,0.0,Maluma
2024-08-05,64209814,255,284,1.444%,916103.8,10924.9,1.193%,0.0,Maluma
2024-08-04,64212231,255,284,1.442%,914849.3,10913.2,1.193%,1.0,Maluma
2024-08-03,64214733,255,284,1.439%,912854.7,10888.0,1.193%,1.0,Maluma
2024-08-02,64216841,255,284,1.436%,911047.0,10880.7,1.194%,1.0,Maluma
2024-08-01,64221019,255,284,1.432%,908889.5,10871.2,1.196%,1.0,Maluma
2024-07-31,64225046,255,284,1.427%,905343.5,10854.9,1.199%,1.0,Maluma
2024-07-30,64228596,255,284,1.415%,898289.0,10824.5,1.205%,1.0,Maluma
2024-07-29,64227901,255,284,1.454%,922808.4,10787.8,1.169%,2.0,Maluma
2024-07-28,64227489,269,283,1.448%,919345.0,10776.2,1.172%,3.0,Maluma
2024-07-27,64229600,269,283,1.444%,916453.8,10764.1,1.175%,3.0,Maluma
2024-07-26,64231410,269,283,1.439%,913479.5,10749.6,1.177%,4.0,Maluma
2024-07-25,64229872,286,283,1.432%,909087.1,10725.9,1.180%,4.0,Maluma
2024-07-24,64229526,286,283,1.555%,987658.4,11124.6,1.126%,5.0,Maluma
2024-07-23,64230450,286,283,1.419%,900532.5,10943.7,1.215%,6.0,Maluma
2024-07-22,64229956,286,282,1.441%,914664.3,10877.7,1.189%,6.0,Maluma
2024-07-21,64227254,286,280,1.415%,897796.7,10704.5,1.192%,4.0,Maluma
2024-07-20,64222776,286,280,1.397%,886663.7,10636.3,1.200%,4.0,Maluma
2024-07-19,64219251,286,279,1.325%,840909.3,10087.5,1.200%,3.0,Maluma
2024-07-18,64215410,286,279,1.334%,847065.0,9530.2,1.125%,3.0,Maluma
2024-07-17,64215152,286,278,1.145%,729466.4,5667.6,0.777%,2.0,Maluma
2024-07-16,64217354,285,277,1.141%,727101.8,5590.0,0.769%,1.0,Maluma
2024-07-15,64218453,285,276,1.133%,723377.7,4087.5,0.565%,1.0,Maluma
2024-07-14,64187130,285,276,1.122%,717343.8,2819.3,0.393%,1.0,Maluma
2024-07-13,64180967,285,276,1.117%,714004.8,2806.8,0.393%,1.0,Maluma
2024-07-12,64177942,285,276,1.110%,709818.2,2786.6,0.393%,2.0,Maluma
2024-07-11,64175685,285,276,1.096%,700618.4,2731.8,0.390%,2.0,Maluma
2024-07-10,64172383,285,276,0.933%,596352.0,2201.4,0.369%,2.0,Maluma
2024-07-09,64172492,284,278,0.928%,593646.3,2192.6,0.369%,3.0,Maluma
2024-07-08,64172885,284,277,0.922%,589377.9,2185.8,0.371%,2.0,Maluma
2024-07-07,64171152,284,277,0.882%,563777.4,2165.8,0.384%,3.0,Maluma
2024-07-06,64166931,284,277,0.873%,558004.3,2154.3,0.386%,4.0,Maluma
2024-07-05,64161512,284,276,0.861%,550183.3,2137.2,0.388%,3.0,Maluma
2024-07-04,64155680,284,276,0.848%,541963.9,2132.4,0.393%,4.0,Maluma
2024-07-03,64150607,284,276,0.840%,536795.5,2119.7,0.395%,4.0,Maluma
2024-07-02,64148825,283,275,0.829%,529585.3,2116.9,0.400%,3.0,Maluma
